filename,DSID_INTU,min_long,max_long,min_lat,max_lat,mid_lon,mid_lat,
NO4R0911.000,4,5.625,5.75,59.75,59.875,5.6875,59.8125
NO4E0810.000,4,5.0,5.25,59.0,59.25,5.125,59.125
NO4D0912.000,4,6.0,6.5,59.5,60.0,6.25,59.75
NO4G1009.000,4,4.5,4.75,60.25,60.5,4.625,60.375
NO4H0811.000,4,5.75,6.0,59.25,59.5,5.875,59.375
NO4H0911.000,4,5.75,6.0,59.75,60.0,5.875,59.875
NO4D0712.000,4,6.0,6.5,58.5,59.0,6.25,58.75
NO4H0809.000,4,4.75,5.0,59.25,59.5,4.875,59.375
NO4U1009.000,4,4.75,4.875,60.25,60.375,4.8125,60.3125
NO4L1010.000,4,5.125,5.25,60.125,60.25,5.1875,60.1875
NO4F1110.000,4,5.25,5.5,60.5,60.75,5.375,60.625
NO4P1010.000,4,5.375,5.5,60.125,60.25,5.4375,60.1875
NO4T0910.000,4,5.125,5.25,59.875,60.0,5.1875,59.9375
NO4U0810.000,4,5.25,5.375,59.25,59.375,5.3125,59.3125
NO4N1010.000,4,5.375,5.5,60.0,60.125,5.4375,60.0625
NO4S0810.000,4,5.0,5.125,59.375,59.5,5.0625,59.4375
NO4G0811.000,4,5.5,5.75,59.25,59.5,5.625,59.375
NO4J1109.000,4,4.625,4.75,60.5,60.625,4.6875,60.5625
NO4W0810.000,4,5.25,5.375,59.375,59.5,5.3125,59.4375
NO4F0711.000,4,5.75,6.0,58.5,58.75,5.875,58.625
NO4T0911.000,4,5.625,5.75,59.875,60.0,5.6875,59.9375
NO4G1014.000,4,7.0,7.25,60.25,60.5,7.125,60.375
NO4H1010.000,4,5.25,5.5,60.25,60.5,5.375,60.375
NO4D1012.000,4,6.0,6.5,60.0,60.5,6.25,60.25
NO4W0910.000,4,5.25,5.375,59.875,60.0,5.3125,59.9375
NO4V0810.000,4,5.375,5.5,59.25,59.375,5.4375,59.3125
NO4G1011.000,4,5.5,5.75,60.25,60.5,5.625,60.375
NO4D1114.000,4,7.0,7.5,60.5,61.0,7.25,60.75
NO4T1010.000,4,5.125,5.25,60.375,60.5,5.1875,60.4375
NO4K1010.000,4,5.0,5.125,60.125,60.25,5.0625,60.1875
NO4F1011.000,4,5.75,6.0,60.0,60.25,5.875,60.125
NO4P0910.000,4,5.375,5.5,59.625,59.75,5.4375,59.6875
NO4X1009.000,4,4.875,5.0,60.375,60.5,4.9375,60.4375
NO4H0909.000,4,4.75,5.0,59.75,60.0,4.875,59.875
NO4E0811.000,4,5.5,5.75,59.0,59.25,5.625,59.125
NO4E0711.000,4,5.5,5.75,58.5,58.75,5.625,58.625
NO4D0813.000,4,6.5,7.0,59.0,59.5,6.75,59.25
NO4V0910.000,4,5.375,5.5,59.75,59.875,5.4375,59.8125
NO4R0910.000,4,5.125,5.25,59.75,59.875,5.1875,59.8125
NO4T0810.000,4,5.125,5.25,59.375,59.5,5.1875,59.4375
NO4D1111.000,4,5.5,6.0,60.5,61.0,5.75,60.75
NO4M1109.000,4,4.75,4.875,60.5,60.625,4.8125,60.5625
NO4F0911.000,4,5.75,6.0,59.5,59.75,5.875,59.625
NO4U0910.000,4,5.25,5.375,59.75,59.875,5.3125,59.8125
NO4D1113.000,4,6.5,7.0,60.5,61.0,6.75,60.75
NO4S0910.000,4,5.0,5.125,59.875,60.0,5.0625,59.9375
NO4J1010.000,4,5.125,5.25,60.0,60.125,5.1875,60.0625
NO4H1011.000,4,5.75,6.0,60.25,60.5,5.875,60.375
NO4E0911.000,4,5.5,5.75,59.5,59.75,5.625,59.625
NO4F0811.000,4,5.75,6.0,59.0,59.25,5.875,59.125
NO4E1011.000,4,5.5,5.75,60.0,60.25,5.625,60.125
NO4I1010.000,4,5.0,5.125,60.0,60.125,5.0625,60.0625
NO4M0910.000,4,5.25,5.375,59.5,59.625,5.3125,59.5625
NO4N0910.000,4,5.375,5.5,59.5,59.625,5.4375,59.5625
NO4M1010.000,4,5.25,5.375,60.0,60.125,5.3125,60.0625
NO4I1110.000,4,5.0,5.125,60.5,60.625,5.0625,60.5625
NO4D0812.000,4,6.0,6.5,59.0,59.5,6.25,59.25
NO4H0711.000,4,5.75,6.0,58.75,59.0,5.875,58.875
NO4Q0911.000,4,5.5,5.625,59.75,59.875,5.5625,59.8125
NO4G0711.000,4,5.5,5.75,58.75,59.0,5.625,58.875
NO4Q0810.000,4,5.0,5.125,59.25,59.375,5.0625,59.3125
NO4F0809.000,4,4.75,5.0,59.0,59.25,4.875,59.125
NO4F0810.000,4,5.2499998,5.5,58.9999999,59.25,5.374999900000001,59.12499995
NO4J1110.000,4,5.125,5.25,60.5,60.625,5.1875,60.5625
NO4K0910.000,4,5.0,5.125,59.625,59.75,5.0625,59.6875
NO4J0910.000,4,5.125,5.25,59.5,59.625,5.1875,59.5625
NO4R1010.000,4,5.125,5.25,60.25,60.375,5.1875,60.3125
NO4S0911.000,4,5.5,5.625,59.875,60.0,5.5625,59.9375
NO4O0910.000,4,5.25,5.375,59.625,59.75,5.3125,59.6875
NO4R0810.000,4,5.125,5.25,59.25,59.375,5.1875,59.3125
NO4F1009.000,4,4.75,5.0,60.0,60.25,4.875,60.125
NO4X0810.000,4,5.375,5.5,59.375,59.5,5.4375,59.4375
NO4X0910.000,4,5.375,5.5,59.875,60.0,5.4375,59.9375
NO4I0910.000,4,5.0,5.125,59.5,59.625,5.0625,59.5625
NO4O1010.000,4,5.25,5.375,60.125,60.25,5.3125,60.1875
NO4F0909.000,4,4.75,5.0,59.5,59.75,4.875,59.625
NO4L0910.000,4,5.125,5.25,59.625,59.75,5.1875,59.6875
NO4D0710.000,4,5.1566667,5.5,58.5,59.0,5.328333349999999,58.75
NO4W1009.000,4,4.75,4.875,60.375,60.5,4.8125,60.4375
NO4I1109.000,4,4.5,4.625,60.5,60.625,4.5625,60.5625
